ObjID,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB
A_OB_1.2_1.0_0,COM,0.575834,1.000695,1.945,2.182,4.776,64122.784917,60796.001439
A_OB_1.2_1.0_1,COM,0.74335,1.008438,0.668,1.116,0.061,62038.874364,60796.001439
A_OB_1.2_1.0_2,COM,0.877183,1.011092,2.004,2.258,5.049,64311.350901,60796.001439
A_OB_1.2_1.0_3,COM,0.389696,1.00432,1.739,3.097,5.037,64319.926385,60796.001439
A_OB_1.2_1.0_4,COM,0.418619,1.008825,2.574,3.646,3.945,61734.621206,60796.001439
A_OB_1.2_1.0_5,COM,0.376354,1.00778,0.737,1.163,3.968,63083.080647,60796.001439
A_OB_1.2_1.0_6,COM,0.312357,1.005995,1.737,2.898,5.884,61391.200693,60796.001439
A_OB_1.2_1.0_7,COM,1.160218,1.047689,1.333,3.07,4.006,61135.502805,60796.001439
A_OB_1.2_1.0_8,COM,1.20841,1.047087,0.903,2.203,5.257,62228.257896,60796.001439
A_OB_1.2_1.0_9,COM,3.037863,1.206668,1.838,4.936,4.785,62291.396288,60796.001439
A_OB_1.2_1.0_10,COM,0.778492,1.061566,1.388,0.163,5.697,61890.389902,60796.001439
A_OB_1.2_1.0_11,COM,0.714131,1.058177,1.64,0.806,5.379,64440.195705,60796.001439
A_OB_1.2_1.0_12,COM,0.839565,1.068658,2.7,2.571,5.768,63002.264717,60796.001439
A_OB_1.2_1.0_13,COM,8.942598,1.99351,2.022,0.085,3.511,60145.076018,60796.001439
A_OB_1.2_1.0_14,COM,0.426739,1.041806,1.011,4.032,4.304,63609.277739,60796.001439
A_OB_1.2_1.0_15,COM,1.133392,1.121894,1.363,5.045,5.432,64105.429348,60796.001439
A_OB_1.2_1.0_16,COM,1.507598,1.140856,0.353,6.113,4.649,61668.69454,60796.001439
A_OB_1.2_1.0_17,COM,1.546176,1.152387,1.957,1.102,4.876,64293.458744,60796.001439
A_OB_1.2_1.0_18,COM,15.670892,3.100499,3.013,4.104,1.043,66307.123918,60796.001439
A_OB_1.2_1.0_19,COM,1.162885,1.16046,2.057,4.775,1.522,60981.261319,60796.001439
A_OB_1.2_1.0_20,COM,1.1585,1.149055,1.705,4.816,4.907,62262.160842,60796.001439
A_OB_1.2_1.0_21,COM,15.515909,3.103406,0.441,2.574,4.239,62606.33904,60796.001439
A_OB_1.2_1.0_22,COM,2.259551,1.310541,0.528,3.489,3.648,62951.140202,60796.001439
A_OB_1.2_1.0_23,COM,7.479671,1.870891,1.485,2.31,1.921,61284.882764,60796.001439
A_OB_1.2_1.0_24,COM,1.364737,1.204423,0.901,0.389,5.293,61149.894583,60796.001439
A_OB_1.2_1.0_25,COM,2.067409,1.328524,1.862,0.912,4.723,62525.116047,60796.001439
A_OB_1.2_1.0_26,COM,1.602365,1.222172,1.383,5.103,3.89,62966.562299,60796.001439
A_OB_1.2_1.0_27,COM,0.467582,1.067087,1.412,2.225,5.7,62490.584166,60796.001439
A_OB_1.2_1.0_28,COM,1.909105,1.272439,1.921,3.053,3.194,64416.646789,60796.001439
