ObjID,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB
A_M_2.9999999999999996_1.0_0,COM,1.424282,1.00108,2.43,2.599,0.065,61185.67183187724,60980.00158187724
A_M_2.9999999999999996_1.0_1,COM,0.114333,1.000122,1.068,6.175,5.844,61754.53067187724,60980.00158187724
A_M_2.9999999999999996_1.0_2,COM,0.896273,1.00251,1.564,4.257,1.105,61122.717293877235,60980.00158187724
A_M_2.9999999999999996_1.0_3,COM,0.600271,1.002009,1.705,5.846,5.638,64031.73235387724,60980.00158187724
A_M_2.9999999999999996_1.0_4,COM,0.525279,1.0015,1.472,5.349,0.213,61685.56269187724,60980.00158187724
A_M_2.9999999999999996_1.0_5,COM,0.600271,1.002009,1.705,5.846,5.638,64031.73235387724,60980.00158187724
A_M_2.9999999999999996_1.0_6,COM,1.4598,1.008216,2.214,4.627,4.565,64573.41351087724,60980.00158187724
A_M_2.9999999999999996_1.0_7,COM,1.4598,1.008216,2.214,4.627,4.565,64573.41351087724,60980.00158187724
A_M_2.9999999999999996_1.0_8,COM,0.748146,1.004377,0.034,6.015,4.932,61864.17819687724,60980.00158187724
A_M_2.9999999999999996_1.0_9,COM,1.03417,1.00594,2.569,4.36,6.123,61686.59073287724,60980.00158187724
A_M_2.9999999999999996_1.0_10,COM,0.809619,1.005178,1.612,0.916,2.411,62781.15080487724,60980.00158187724
A_M_2.9999999999999996_1.0_11,COM,0.96517,1.005534,1.148,0.819,3.467,61162.975140877235,60980.00158187724
A_M_2.9999999999999996_1.0_12,COM,1.188261,1.019158,0.482,0.178,5.108,62050.64148387724,60980.00158187724
A_M_2.9999999999999996_1.0_13,COM,0.060268,1.000668,1.529,5.32,5.297,64668.188968877235,60980.00158187724
A_M_2.9999999999999996_1.0_14,COM,0.435252,1.006916,1.526,4.043,4.544,61783.949802877236,60980.00158187724
A_M_2.9999999999999996_1.0_15,COM,1.343651,1.021755,2.524,4.485,5.972,64002.80940587724,60980.00158187724
A_M_2.9999999999999996_1.0_16,COM,0.447482,1.006545,0.823,0.739,0.614,63056.03244387724,60980.00158187724
A_M_2.9999999999999996_1.0_17,COM,0.804144,1.012186,1.202,1.169,0.596,62860.28970787724,60980.00158187724
A_M_2.9999999999999996_1.0_18,COM,0.349036,1.005641,2.76,0.174,1.966,61420.88801487724,60980.00158187724
A_M_2.9999999999999996_1.0_19,COM,1.323566,1.015591,0.248,3.305,4.765,61270.94897787724,60980.00158187724
A_M_2.9999999999999996_1.0_20,COM,1.166942,1.019531,2.341,2.034,5.3,61645.65263687724,60980.00158187724
A_M_2.9999999999999996_1.0_21,COM,1.45643,1.025626,2.793,0.233,2.141,62761.07220887724,60980.00158187724
A_M_2.9999999999999996_1.0_22,COM,1.155316,1.016666,0.982,3.98,0.945,62300.43957387724,60980.00158187724
A_M_2.9999999999999996_1.0_23,COM,0.640148,1.008164,1.849,3.047,0.062,63872.53759087724,60980.00158187724
A_M_2.9999999999999996_1.0_24,COM,1.155316,1.016666,0.982,3.98,0.945,62300.43957387724,60980.00158187724
A_M_2.9999999999999996_1.0_25,COM,1.231878,1.019033,2.33,0.886,1.485,64597.104849877236,60980.00158187724
A_M_2.9999999999999996_1.0_26,COM,0.98677,1.017758,1.718,2.298,2.469,62873.459623877236,60980.00158187724
A_M_2.9999999999999996_1.0_27,COM,0.028821,1.000374,2.192,3.105,2.3,63356.48587187724,60980.00158187724
A_M_2.9999999999999996_1.0_28,COM,0.047183,1.000623,1.685,1.523,0.024,63847.07312787724,60980.00158187724
A_M_2.9999999999999996_1.0_29,COM,0.755384,1.011679,0.322,4.674,3.525,64620.194769877235,60980.00158187724
A_M_2.9999999999999996_1.0_30,COM,1.174114,1.021309,0.994,6.097,3.741,64336.807907877235,60980.00158187724
A_M_2.9999999999999996_1.0_31,COM,0.602136,1.013941,1.015,2.683,1.954,61065.53017687724,60980.00158187724
A_M_2.9999999999999996_1.0_32,COM,0.467922,1.010998,1.956,4.568,2.263,64078.535254877235,60980.00158187724
A_M_2.9999999999999996_1.0_33,COM,1.002129,1.024564,2.288,5.623,4.17,63697.49673587724,60980.00158187724
A_M_2.9999999999999996_1.0_34,COM,0.8355,1.0221,1.651,4.348,6.248,62476.66239387724,60980.00158187724
A_M_2.9999999999999996_1.0_35,COM,1.341736,1.03559,2.461,6.088,5.96,63657.041142877235,60980.00158187724
A_M_2.9999999999999996_1.0_36,COM,0.367349,1.009396,2.069,5.081,5.096,62040.83400587724,60980.00158187724
A_M_2.9999999999999996_1.0_37,COM,1.597933,1.040312,1.976,2.92,3.547,63796.46488187724,60980.00158187724
A_M_2.9999999999999996_1.0_38,COM,0.355961,1.007786,1.194,2.546,5.373,64356.36351587724,60980.00158187724
A_M_2.9999999999999996_1.0_39,COM,0.314471,1.007542,2.393,6.183,4.828,62415.04328387724,60980.00158187724
A_M_2.9999999999999996_1.0_40,COM,0.302635,1.008832,1.928,0.089,3.256,63419.931809877235,60980.00158187724
A_M_2.9999999999999996_1.0_41,COM,0.741722,1.019438,2.407,1.516,2.241,62310.33584387724,60980.00158187724
A_M_2.9999999999999996_1.0_42,COM,1.057088,1.02556,1.608,2.936,3.456,63375.75852387724,60980.00158187724
A_M_2.9999999999999996_1.0_43,COM,1.382525,1.029702,1.37,5.377,1.026,64479.50213887724,60980.00158187724
A_M_2.9999999999999996_1.0_44,COM,0.214742,1.005293,1.383,3.632,2.123,61402.627199877235,60980.00158187724
A_M_2.9999999999999996_1.0_45,COM,1.082032,1.025928,1.882,1.274,0.755,62524.52663087724,60980.00158187724
A_M_2.9999999999999996_1.0_46,COM,1.253117,1.027056,1.611,0.898,1.555,62379.21608387724,60980.00158187724
A_M_2.9999999999999996_1.0_47,COM,0.040934,1.000816,0.903,1.437,6.236,62851.85906987724,60980.00158187724
A_M_2.9999999999999996_1.0_48,COM,0.11295,1.002664,0.786,5.195,3.242,62984.98251987724,60980.00158187724
A_M_2.9999999999999996_1.0_49,COM,0.893434,1.017132,1.145,0.772,4.68,61663.86743487724,60980.00158187724
A_M_2.9999999999999996_1.0_50,COM,0.864791,1.022169,1.119,3.319,1.215,61020.78072787724,60980.00158187724
A_M_2.9999999999999996_1.0_51,COM,0.764403,1.020829,1.184,4.629,3.797,63950.524186877235,60980.00158187724
A_M_2.9999999999999996_1.0_52,COM,1.436624,1.034607,0.993,1.63,5.281,63895.56685787724,60980.00158187724
A_M_2.9999999999999996_1.0_53,COM,1.337487,1.026263,0.652,3.421,4.004,63024.941503877235,60980.00158187724
A_M_2.9999999999999996_1.0_54,COM,0.863241,1.01671,1.234,5.123,4.437,60995.97181987724,60980.00158187724
