ObjID,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB
A_M_2.1999999999999997_1.0_0,COM,0.878003,1.000398,0.905,2.68,4.783,64662.95681487724,60980.00158187724
A_M_2.1999999999999997_1.0_1,COM,0.33351,1.00096,1.728,2.499,5.525,63568.74844687724,60980.00158187724
A_M_2.1999999999999997_1.0_2,COM,0.177134,1.000633,1.908,1.026,6.136,62041.25949687724,60980.00158187724
A_M_2.1999999999999997_1.0_3,COM,1.411014,1.018651,1.538,2.683,4.657,63707.00440687724,60980.00158187724
A_M_2.1999999999999997_1.0_4,COM,1.513485,1.02179,2.734,0.791,1.776,63366.97953787724,60980.00158187724
A_M_2.1999999999999997_1.0_5,COM,1.159208,1.016115,1.194,2.34,0.69,64161.18435187724,60980.00158187724
A_M_2.1999999999999997_1.0_6,COM,1.617079,1.027798,1.342,5.319,5.329,62664.901549877235,60980.00158187724
A_M_2.1999999999999997_1.0_7,COM,1.264589,1.028692,2.304,0.369,5.075,63352.11379287724,60980.00158187724
A_M_2.1999999999999997_1.0_8,COM,1.32526,1.036578,1.93,2.584,2.294,61369.545098877235,60980.00158187724
A_M_2.1999999999999997_1.0_9,COM,0.201958,1.0055,1.961,1.289,1.398,63619.967830877235,60980.00158187724
A_M_2.1999999999999997_1.0_10,COM,1.428577,1.037786,1.233,3.664,6.058,61777.686451877235,60980.00158187724
A_M_2.1999999999999997_1.0_11,COM,0.841961,1.020898,2.223,4.416,3.766,61607.88239187724,60980.00158187724
A_M_2.1999999999999997_1.0_12,COM,0.691137,1.013646,2.626,1.582,4.226,64199.58053487724,60980.00158187724
A_M_2.1999999999999997_1.0_13,COM,0.163542,1.004249,1.713,0.768,0.178,61789.61633187724,60980.00158187724
A_M_2.1999999999999997_1.0_14,COM,1.786092,1.041272,1.331,5.284,6.171,62579.52116687724,60980.00158187724
A_M_2.1999999999999997_1.0_15,COM,0.406102,1.012451,2.449,2.866,3.213,61820.210528877236,60980.00158187724
A_M_2.1999999999999997_1.0_16,COM,0.952446,1.033045,1.654,4.421,3.538,62363.17944087724,60980.00158187724
A_M_2.1999999999999997_1.0_17,COM,0.586905,1.033174,1.97,5.676,2.745,64751.216456877235,60980.00158187724
A_M_2.1999999999999997_1.0_18,COM,0.469306,1.022515,2.596,4.224,2.848,62411.90781287724,60980.00158187724
A_M_2.1999999999999997_1.0_19,COM,0.400551,1.021282,2.081,5.043,3.413,62632.33214387724,60980.00158187724
A_M_2.1999999999999997_1.0_20,COM,1.713329,1.072204,0.662,5.319,5.402,63947.26887087724,60980.00158187724
A_M_2.1999999999999997_1.0_21,COM,1.062917,1.059547,2.712,3.211,3.863,63992.730771877235,60980.00158187724
A_M_2.1999999999999997_1.0_22,COM,1.303581,1.071184,2.36,4.631,2.277,63010.03505487724,60980.00158187724
A_M_2.1999999999999997_1.0_23,COM,2.04379,1.122803,1.017,0.53,3.381,64402.713276877235,60980.00158187724
A_M_2.1999999999999997_1.0_24,COM,0.272953,1.017206,1.963,3.558,3.976,62029.30306187724,60980.00158187724
A_M_2.1999999999999997_1.0_25,COM,1.237023,1.075764,2.201,4.211,4.05,62970.104957877236,60980.00158187724
A_M_2.1999999999999997_1.0_26,COM,0.952627,1.069763,0.35,4.326,4.173,62066.714224877236,60980.00158187724
A_M_2.1999999999999997_1.0_27,COM,0.804,1.048393,1.409,4.127,0.962,61931.14205887724,60980.00158187724
A_M_2.1999999999999997_1.0_28,COM,0.43814,1.029096,1.623,3.217,0.156,61576.832664877234,60980.00158187724
A_M_2.1999999999999997_1.0_29,COM,0.66909,1.055897,1.65,2.576,0.626,63411.917627877236,60980.00158187724
A_M_2.1999999999999997_1.0_30,COM,0.877448,1.079893,0.171,3.031,1.895,64195.87635487724,60980.00158187724
A_M_2.1999999999999997_1.0_31,COM,0.17505,1.015697,2.002,5.569,3.315,63922.25474687724,60980.00158187724
A_M_2.1999999999999997_1.0_32,COM,0.130195,1.01064,1.329,2.416,4.837,62608.80763687724,60980.00158187724
A_M_2.1999999999999997_1.0_33,COM,0.567318,1.045317,2.781,2.746,5.842,64017.85973287724,60980.00158187724
A_M_2.1999999999999997_1.0_34,COM,1.139526,1.105235,1.721,4.243,1.097,64559.75135287724,60980.00158187724
A_M_2.1999999999999997_1.0_35,COM,1.010793,1.088778,2.511,6.008,4.152,64158.97592087724,60980.00158187724
A_M_2.1999999999999997_1.0_36,COM,0.318886,1.035513,1.981,3.367,3.544,62145.957388877236,60980.00158187724
A_M_2.1999999999999997_1.0_37,COM,1.123965,1.122546,0.782,2.323,2.112,64671.415111877235,60980.00158187724
A_M_2.1999999999999997_1.0_38,COM,0.754479,1.076725,1.625,1.565,3.778,63396.250887877235,60980.00158187724
A_M_2.1999999999999997_1.0_39,COM,1.061077,1.112882,2.888,6.253,2.296,62520.70427687724,60980.00158187724
A_M_2.1999999999999997_1.0_40,COM,0.48011,1.047789,1.05,2.034,1.321,61752.54558787724,60980.00158187724
A_M_2.1999999999999997_1.0_41,COM,1.360739,1.127752,0.866,1.333,3.817,64303.503034877234,60980.00158187724
A_M_2.1999999999999997_1.0_42,COM,1.02383,1.115457,1.977,2.511,4.103,63506.57078987724,60980.00158187724
A_M_2.1999999999999997_1.0_43,COM,1.399489,1.157319,2.626,4.473,3.285,63644.89730987724,60980.00158187724
A_M_2.1999999999999997_1.0_44,COM,1.189996,1.117906,1.553,0.206,4.076,61841.025026877236,60980.00158187724
A_M_2.1999999999999997_1.0_45,COM,1.487174,1.160686,1.665,5.235,4.359,61140.00512787724,60980.00158187724
A_M_2.1999999999999997_1.0_46,COM,0.61358,1.059434,1.723,1.37,5.979,64198.513184877236,60980.00158187724
A_M_2.1999999999999997_1.0_47,COM,0.944023,1.098783,2.009,5.141,3.523,62536.13360787724,60980.00158187724
