ObjID,H_g,u-r,g-r,i-r,z-r,y-r,GS
A_OB_2.5999999999999996_1.0_0,24.21,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_1,25.35,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_2,25.13,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_3,24.82,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_4,23.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_5,25.15,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_6,24.69,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_7,24.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_8,25.07,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_9,22.88,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_10,25.27,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_11,24.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_12,24.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_13,24.65,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_14,25.2,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_15,25.57,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_16,25.6,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_17,25.54,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_18,23.41,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_19,25.61,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_20,24.62,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_21,22.12,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_22,23.1,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_23,19.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_24,24.61,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_25,22.37,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_26,25.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_27,25.24,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_28,24.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_29,25.33,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_30,25.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_31,23.02,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_32,23.81,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_33,25.51,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_34,24.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_35,24.75,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_36,24.92,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_37,25.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_38,24.69,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_39,24.22,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_40,24.12,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_41,22.57,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_42,22.41,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_43,24.24,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_44,25.35,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_45,25.53,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_46,21.39,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_2.5999999999999996_1.0_47,25.35,2.31,0.73,-0.33,-0.5,-0.68,0.15
