ObjID,H_r,u-r,g-r,i-r,z-r,y-r,GS
A_M_2.8_1.0_0,24.93,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_1,25.57,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_2,24.96,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_3,25.5,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_4,25.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_5,25.29,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_6,25.47,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_7,25.6,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_8,25.13,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_9,24.95,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_10,25.27,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_11,25.22,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_12,24.7,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_13,24.86,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_14,21.78,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_15,25.06,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_16,24.94,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_17,25.36,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_18,24.7,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_19,23.42,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_20,24.38,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_21,25.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_22,24.15,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_23,24.84,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_24,25.09,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_25,25.57,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_26,25.39,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_27,25.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_28,24.73,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_29,23.89,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_30,25.59,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_31,25.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_32,25.42,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_33,25.29,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_34,24.94,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_35,23.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_36,24.28,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_37,25.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_38,23.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_39,24.74,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_40,25.27,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_41,25.4,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_42,24.96,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_43,25.34,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_44,24.03,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_45,23.42,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_46,25.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_47,24.37,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_48,25.31,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_49,25.0,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_50,24.06,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_51,23.89,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_52,25.29,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_53,25.54,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_54,25.43,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_55,25.47,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_56,25.38,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_57,23.35,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_58,23.61,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_59,25.2,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_60,25.57,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_61,25.06,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_62,24.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_63,25.59,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_64,25.37,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_65,24.42,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_66,24.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
