ObjID,H_r,u-r,g-r,i-r,z-r,y-r,GS
A_M_2.8_1.0_0,25.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_1,25.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_2,25.54,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_3,24.63,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_4,25.48,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_5,25.03,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_6,25.35,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_7,23.33,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_8,25.44,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_9,24.61,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_10,22.24,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_11,25.14,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_12,25.14,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_13,25.24,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_14,25.21,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_15,25.34,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_16,23.61,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_17,21.67,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_18,25.07,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_19,24.55,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_20,23.86,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_21,25.29,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_22,24.95,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_23,22.11,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_24,24.23,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_25,24.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_26,24.73,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_27,25.0,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_28,25.31,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_29,25.54,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_30,24.77,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_31,23.08,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_32,24.19,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_33,25.13,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_34,24.79,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_35,25.43,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_36,24.99,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_37,25.34,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_2.8_1.0_38,24.54,2.31,0.73,-0.33,-0.5,-0.68,0.15
