ObjID,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB
A_OB_1.9999999999999998_1.0_0,COM,1.309207,1.002136,1.278,2.724,4.949,61073.867416,60796.001439
A_OB_1.9999999999999998_1.0_1,COM,0.881261,1.002573,1.029,2.921,3.027,61449.704261,60796.001439
A_OB_1.9999999999999998_1.0_2,COM,0.585548,1.00191,0.997,1.23,4.834,62793.640323,60796.001439
A_OB_1.9999999999999998_1.0_3,COM,1.242238,1.00423,0.602,3.33,3.267,64229.526741,60796.001439
A_OB_1.9999999999999998_1.0_4,COM,0.70009,1.003465,0.574,3.879,3.503,60967.225871,60796.001439
A_OB_1.9999999999999998_1.0_5,COM,0.00136,1.000013,0.733,1.682,4.713,64236.479571,60796.001439
A_OB_1.9999999999999998_1.0_6,COM,2.177746,1.023406,0.274,3.644,3.713,60925.52052,60796.001439
A_OB_1.9999999999999998_1.0_7,COM,0.398197,1.004231,0.786,3.876,2.035,62775.603435,60796.001439
A_OB_1.9999999999999998_1.0_8,COM,0.618942,1.006436,2.584,2.084,5.776,64113.340259,60796.001439
A_OB_1.9999999999999998_1.0_9,COM,0.311434,1.002785,2.081,0.019,5.368,60833.3993,60796.001439
A_OB_1.9999999999999998_1.0_10,COM,0.43911,1.004662,1.449,0.196,5.817,61857.020728,60796.001439
A_OB_1.9999999999999998_1.0_11,COM,0.54766,1.004234,1.513,6.017,4.901,63124.385053,60796.001439
A_OB_1.9999999999999998_1.0_12,COM,1.6631,1.014846,0.794,2.719,4.66,61037.511941,60796.001439
A_OB_1.9999999999999998_1.0_13,COM,1.351307,1.018606,2.483,2.263,1.483,62357.399538,60796.001439
A_OB_1.9999999999999998_1.0_14,COM,1.365573,1.021778,1.177,1.868,3.965,61396.178977,60796.001439
A_OB_1.9999999999999998_1.0_15,COM,2.249615,1.028165,1.05,2.669,2.264,64154.067563,60796.001439
A_OB_1.9999999999999998_1.0_16,COM,0.835235,1.014222,2.577,5.627,4.65,63255.882303,60796.001439
A_OB_1.9999999999999998_1.0_17,COM,1.349394,1.025488,1.603,2.088,2.262,61999.930236,60796.001439
A_OB_1.9999999999999998_1.0_18,COM,0.844856,1.011445,2.079,0.106,1.96,62890.026817,60796.001439
A_OB_1.9999999999999998_1.0_19,COM,0.409314,1.006518,1.933,4.327,2.074,63842.403563,60796.001439
A_OB_1.9999999999999998_1.0_20,COM,0.563895,1.006317,1.856,1.626,5.253,63791.392421,60796.001439
A_OB_1.9999999999999998_1.0_21,COM,0.676118,1.009756,2.626,5.337,3.066,62471.694394,60796.001439
A_OB_1.9999999999999998_1.0_22,COM,1.262299,1.016229,0.693,5.819,2.127,64306.187761,60796.001439
A_OB_1.9999999999999998_1.0_23,COM,1.789783,1.041561,1.178,0.102,3.42,61386.17756,60796.001439
A_OB_1.9999999999999998_1.0_24,COM,0.865752,1.024685,1.949,5.849,1.489,60904.932507,60796.001439
A_OB_1.9999999999999998_1.0_25,COM,1.281758,1.036301,1.342,0.181,3.594,61080.598768,60796.001439
A_OB_1.9999999999999998_1.0_26,COM,1.023984,1.020737,0.472,5.119,2.292,61867.928945,60796.001439
A_OB_1.9999999999999998_1.0_27,COM,2.100704,1.049478,1.129,0.528,3.499,64192.057999,60796.001439
A_OB_1.9999999999999998_1.0_28,COM,0.191891,1.005555,2.655,6.116,4.586,62189.108816,60796.001439
A_OB_1.9999999999999998_1.0_29,COM,0.89877,1.021177,1.198,1.974,5.69,61394.689822,60796.001439
A_OB_1.9999999999999998_1.0_30,COM,0.206611,1.006013,2.61,2.83,3.477,63446.819513,60796.001439
A_OB_1.9999999999999998_1.0_31,COM,0.280035,1.006725,2.178,2.586,4.184,62432.764463,60796.001439
A_OB_1.9999999999999998_1.0_32,COM,1.538273,1.043252,1.446,2.004,5.663,62445.596958,60796.001439
A_OB_1.9999999999999998_1.0_33,COM,2.830524,1.068399,0.814,1.84,0.751,61788.214598,60796.001439
A_OB_1.9999999999999998_1.0_34,COM,0.321643,1.007321,2.312,5.79,4.84,63373.231102,60796.001439
A_OB_1.9999999999999998_1.0_35,COM,0.528479,1.012073,0.388,5.059,3.951,61246.748034,60796.001439
A_OB_1.9999999999999998_1.0_36,COM,1.24711,1.050942,1.57,5.281,4.077,64055.579378,60796.001439
A_OB_1.9999999999999998_1.0_37,COM,1.097265,1.035694,2.22,3.604,2.824,61502.277174,60796.001439
A_OB_1.9999999999999998_1.0_38,COM,1.249594,1.052254,1.31,4.177,4.773,63221.650445,60796.001439
A_OB_1.9999999999999998_1.0_39,COM,1.332037,1.052474,1.864,4.027,5.484,64119.194452,60796.001439
A_OB_1.9999999999999998_1.0_40,COM,1.001627,1.033642,0.751,3.711,2.75,63913.964459,60796.001439
A_OB_1.9999999999999998_1.0_41,COM,0.09846,1.003367,1.397,5.174,6.235,62761.058699,60796.001439
A_OB_1.9999999999999998_1.0_42,COM,0.145653,1.00542,0.696,2.975,5.178,63642.670811,60796.001439
A_OB_1.9999999999999998_1.0_43,COM,0.2884,1.010186,1.33,0.964,5.799,63476.501337,60796.001439
A_OB_1.9999999999999998_1.0_44,COM,0.43729,1.015236,1.947,5.331,4.361,64005.908068,60796.001439
A_OB_1.9999999999999998_1.0_45,COM,0.352881,1.01135,1.508,1.455,3.156,63647.185326,60796.001439
A_OB_1.9999999999999998_1.0_46,COM,1.427073,1.045242,1.287,3.177,2.484,62393.278148,60796.001439
A_OB_1.9999999999999998_1.0_47,COM,0.90034,1.036485,2.33,3.043,3.531,61556.29501,60796.001439
A_OB_1.9999999999999998_1.0_48,COM,1.214568,1.055955,2.302,1.207,4.615,63187.827919,60796.001439
A_OB_1.9999999999999998_1.0_49,COM,0.471466,1.025739,0.574,3.211,3.344,63868.258118,60796.001439
A_OB_1.9999999999999998_1.0_50,COM,2.007885,1.097213,1.321,3.603,3.627,61540.576171,60796.001439
A_OB_1.9999999999999998_1.0_51,COM,0.569847,1.032015,1.783,1.821,3.879,62416.72024,60796.001439
A_OB_1.9999999999999998_1.0_52,COM,0.770427,1.03271,0.399,4.536,0.778,61830.662555,60796.001439
A_OB_1.9999999999999998_1.0_53,COM,0.903968,1.047053,0.726,1.604,5.203,63757.762418,60796.001439
A_OB_1.9999999999999998_1.0_54,COM,0.232658,1.00993,1.087,4.681,3.246,63605.061956,60796.001439
A_OB_1.9999999999999998_1.0_55,COM,0.760634,1.036384,2.301,3.173,1.267,63402.287995,60796.001439
A_OB_1.9999999999999998_1.0_56,COM,1.293376,1.055092,2.109,4.437,4.248,61991.357976,60796.001439
A_OB_1.9999999999999998_1.0_57,COM,0.012053,1.000626,1.011,2.646,5.861,63565.2258,60796.001439
A_OB_1.9999999999999998_1.0_58,COM,0.803731,1.039007,1.309,3.434,3.638,62632.774652,60796.001439
A_OB_1.9999999999999998_1.0_59,COM,1.363132,1.070205,0.818,5.404,4.854,60911.424284,60796.001439
A_OB_1.9999999999999998_1.0_60,COM,0.274541,1.011732,1.371,6.033,3.689,64131.931634,60796.001439
A_OB_1.9999999999999998_1.0_61,COM,1.095222,1.050739,2.247,3.294,4.76,62245.585556,60796.001439
A_OB_1.9999999999999998_1.0_62,COM,1.30397,1.065491,1.444,1.915,5.509,62205.103278,60796.001439
A_OB_1.9999999999999998_1.0_63,COM,0.108778,1.00562,2.074,0.647,4.692,63114.174885,60796.001439
A_OB_1.9999999999999998_1.0_64,COM,1.135751,1.052101,2.661,1.675,0.583,60764.878014,60796.001439
A_OB_1.9999999999999998_1.0_65,COM,1.112364,1.060611,0.459,0.59,1.933,62197.085886,60796.001439
A_OB_1.9999999999999998_1.0_66,COM,0.525424,1.029473,2.6,2.762,2.441,63837.434041,60796.001439
A_OB_1.9999999999999998_1.0_67,COM,1.484342,1.064671,2.23,1.787,5.428,63350.152338,60796.001439
A_OB_1.9999999999999998_1.0_68,COM,0.97358,1.053434,0.568,0.417,3.039,61140.024573,60796.001439
A_OB_1.9999999999999998_1.0_69,COM,1.24094,1.088185,0.469,5.715,4.032,62137.592726,60796.001439
A_OB_1.9999999999999998_1.0_70,COM,0.63651,1.038356,1.351,1.813,3.464,62881.752429,60796.001439
A_OB_1.9999999999999998_1.0_71,COM,0.826572,1.054445,2.394,5.0,5.505,64252.429016,60796.001439
A_OB_1.9999999999999998_1.0_72,COM,0.022716,1.001631,2.612,1.583,5.264,61996.324108,60796.001439
A_OB_1.9999999999999998_1.0_73,COM,0.913339,1.061097,0.798,5.813,0.58,63786.205134,60796.001439
A_OB_1.9999999999999998_1.0_74,COM,0.981231,1.072341,1.916,2.103,3.69,61560.917287,60796.001439
A_OB_1.9999999999999998_1.0_75,COM,1.750959,1.115319,0.583,3.111,3.866,62437.777934,60796.001439
A_OB_1.9999999999999998_1.0_76,COM,0.594956,1.033963,1.715,1.184,4.26,63051.759192,60796.001439
A_OB_1.9999999999999998_1.0_77,COM,1.191645,1.068674,2.861,0.621,5.005,61861.994876,60796.001439
A_OB_1.9999999999999998_1.0_78,COM,1.376074,1.091047,0.9,1.892,5.697,62998.967348,60796.001439
A_OB_1.9999999999999998_1.0_79,COM,1.416755,1.100477,2.25,3.435,4.491,62733.282007,60796.001439
A_OB_1.9999999999999998_1.0_80,COM,0.778612,1.05705,2.449,2.962,3.964,64270.202398,60796.001439
A_OB_1.9999999999999998_1.0_81,COM,1.328449,1.077933,1.611,3.263,5.21,64350.842215,60796.001439
A_OB_1.9999999999999998_1.0_82,COM,1.60466,1.093437,0.988,0.98,4.305,62385.412077,60796.001439
A_OB_1.9999999999999998_1.0_83,COM,0.454685,1.028734,0.477,5.691,0.541,62875.935709,60796.001439
A_OB_1.9999999999999998_1.0_84,COM,0.082895,1.005711,0.9,2.78,2.945,63233.452496,60796.001439
A_OB_1.9999999999999998_1.0_85,COM,0.58018,1.036285,1.337,5.509,4.438,61350.952133,60796.001439
A_OB_1.9999999999999998_1.0_86,COM,0.780369,1.045455,1.124,4.162,4.049,64464.838245,60796.001439
A_OB_1.9999999999999998_1.0_87,COM,0.361873,1.020748,2.019,5.589,4.604,63371.205803,60796.001439
A_OB_1.9999999999999998_1.0_88,COM,0.656929,1.050115,1.281,5.361,0.229,61707.836001,60796.001439
A_OB_1.9999999999999998_1.0_89,COM,0.29668,1.026585,1.842,1.376,4.205,64246.658623,60796.001439
A_OB_1.9999999999999998_1.0_90,COM,1.310228,1.112379,0.798,1.182,5.623,63149.53664,60796.001439
A_OB_1.9999999999999998_1.0_91,COM,0.576757,1.045017,1.797,6.265,3.002,63347.434414,60796.001439
A_OB_1.9999999999999998_1.0_92,COM,0.125528,1.01165,2.339,5.377,5.748,61606.856008,60796.001439
A_OB_1.9999999999999998_1.0_93,COM,1.538437,1.141836,2.334,0.124,4.071,63579.956847,60796.001439
A_OB_1.9999999999999998_1.0_94,COM,0.127576,1.011797,1.558,1.175,4.978,60879.381548,60796.001439
A_OB_1.9999999999999998_1.0_95,COM,1.091484,1.100908,1.711,6.148,4.528,64158.863755,60796.001439
A_OB_1.9999999999999998_1.0_96,COM,0.551374,1.051261,2.783,1.435,5.238,63408.299595,60796.001439
A_OB_1.9999999999999998_1.0_97,COM,0.310185,1.02507,2.475,0.639,2.115,61541.541431,60796.001439
A_OB_1.9999999999999998_1.0_98,COM,0.023252,1.002058,2.41,3.762,3.702,62127.926487,60796.001439
A_OB_1.9999999999999998_1.0_99,COM,0.177965,1.015664,2.078,3.257,0.129,62569.309662,60796.001439
A_OB_1.9999999999999998_1.0_100,COM,1.934406,1.148293,0.985,0.705,4.072,63153.129846,60796.001439
A_OB_1.9999999999999998_1.0_101,COM,0.544715,1.046025,1.662,5.182,5.018,63117.317424,60796.001439
A_OB_1.9999999999999998_1.0_102,COM,0.976382,1.088632,1.763,3.904,2.552,63311.734107,60796.001439
A_OB_1.9999999999999998_1.0_103,COM,1.396086,1.115566,0.863,4.273,2.148,64073.529737,60796.001439
A_OB_1.9999999999999998_1.0_104,COM,0.418091,1.039991,1.647,5.017,3.661,62720.725453,60796.001439
A_OB_1.9999999999999998_1.0_105,COM,2.366266,1.242719,1.588,2.14,4.063,62633.289894,60796.001439
A_OB_1.9999999999999998_1.0_106,COM,0.870611,1.098924,1.789,3.7,3.803,61152.04604,60796.001439
A_OB_1.9999999999999998_1.0_107,COM,1.457782,1.148714,2.295,3.471,3.563,61399.667242,60796.001439
A_OB_1.9999999999999998_1.0_108,COM,1.688302,1.192408,1.288,4.883,2.725,62067.151995,60796.001439
A_OB_1.9999999999999998_1.0_109,COM,0.26602,1.025091,1.437,4.785,2.305,61003.021268,60796.001439
A_OB_1.9999999999999998_1.0_110,COM,0.193748,1.021962,1.229,4.836,3.317,61623.55113,60796.001439
A_OB_1.9999999999999998_1.0_111,COM,1.121047,1.125983,1.539,1.215,5.897,64252.142319,60796.001439
A_OB_1.9999999999999998_1.0_112,COM,1.327401,1.1315,1.439,3.973,2.401,61072.624277,60796.001439
A_OB_1.9999999999999998_1.0_113,COM,0.435565,1.042168,1.22,2.518,5.603,62686.254289,60796.001439
