ObjID,H_r,u-r,g-r,i-r,z-r,y-r,GS
A_M_1.0_1.0_0,24.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_1,24.9,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_2,20.2,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_3,15.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_4,22.41,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_5,25.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_6,7.18,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_7,12.68,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_8,19.0,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_9,25.36,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_10,17.49,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_11,25.08,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_12,20.39,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_13,25.6,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_14,11.08,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_15,23.69,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_16,24.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_17,22.18,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_18,25.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_19,24.74,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_20,23.59,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_21,25.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_22,7.73,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_23,8.9,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_24,23.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_25,11.01,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_26,21.6,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_27,8.7,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_28,16.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_29,15.64,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_30,24.07,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_31,20.84,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_32,16.3,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_33,6.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_34,13.75,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_35,25.51,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_36,9.68,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_37,18.25,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_38,25.19,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_39,10.06,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_40,5.67,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_41,10.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_42,16.32,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_43,23.87,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.0_1.0_44,11.17,2.31,0.73,-0.33,-0.5,-0.68,0.15
