ObjID,H_g,u-r,g-r,i-r,z-r,y-r,GS
A_OB_1.4_1.0_0,23.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_1,25.6,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_2,24.85,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_3,25.09,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_4,24.74,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_5,23.49,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_6,11.53,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_7,22.97,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_8,25.24,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_9,24.88,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_10,24.57,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_11,23.99,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_12,24.97,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_13,23.49,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_14,23.41,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_15,25.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_16,24.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_17,25.23,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_18,23.44,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_19,24.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_20,11.27,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_21,24.08,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_22,22.93,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_23,23.49,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_24,22.36,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_25,24.82,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_26,24.85,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_27,23.78,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_28,22.19,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_29,23.43,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_30,25.05,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_31,24.09,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_32,25.36,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_33,23.31,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_34,24.87,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_35,21.27,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_36,24.31,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_37,25.53,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_38,25.48,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_39,20.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_40,24.9,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_41,19.86,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_42,23.65,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_43,24.85,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_44,22.12,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_45,22.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_46,24.38,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_47,24.72,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_48,25.37,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_49,22.85,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_50,25.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_51,25.24,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_52,22.63,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_53,25.39,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_54,24.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_55,22.98,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_56,22.01,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_57,24.85,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_58,20.26,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_59,18.93,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_60,19.78,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_61,25.05,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_62,20.65,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_63,25.51,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_64,21.62,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_65,24.64,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_66,25.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_67,25.54,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_68,25.53,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_69,24.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_70,24.19,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_71,17.61,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_72,25.55,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_73,22.94,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_74,24.55,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_75,21.63,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_76,22.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_77,23.06,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_78,25.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_79,21.41,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_80,19.48,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_81,17.62,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_82,23.22,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_83,24.47,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_84,23.86,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_85,20.1,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_86,23.9,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_87,25.19,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_88,24.89,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_89,24.55,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_90,25.37,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_91,25.47,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_92,23.74,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_93,8.06,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_94,23.92,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_95,24.83,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_96,24.28,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_97,22.37,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_98,25.61,2.31,0.73,-0.33,-0.5,-0.68,0.15
