ObjID,H_g,u-r,g-r,i-r,z-r,y-r,GS
A_OB_1.0_1.0_0,21.86,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_1,23.7,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_2,15.97,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_3,25.53,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_4,25.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_5,25.06,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_6,22.78,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_7,25.23,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_8,24.77,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_9,14.22,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_10,20.13,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_11,20.83,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_12,20.63,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_13,24.43,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_14,9.48,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_15,17.97,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_16,23.48,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_17,22.65,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_18,24.63,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_19,11.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_20,10.07,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_21,22.67,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_22,24.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_23,25.2,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_24,24.28,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_25,25.25,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_26,25.21,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_27,22.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_28,8.65,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_29,25.38,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_30,20.02,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_31,18.72,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_32,25.49,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_33,24.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_34,25.38,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_35,25.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_36,25.11,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_37,9.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_38,24.34,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_39,17.1,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_40,25.17,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_41,25.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
