ObjID,H_r,u-r,g-r,i-r,z-r,y-r,GS
A_M_1.4_1.0_0,23.44,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_1,23.87,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_2,23.36,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_3,21.5,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_4,24.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_5,24.59,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_6,24.86,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_7,21.43,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_8,23.87,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_9,20.03,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_10,25.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_11,24.03,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_12,25.34,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_13,23.08,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_14,23.07,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_15,24.07,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_16,24.97,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_17,24.12,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_18,25.07,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_19,16.67,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_20,13.83,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_21,25.39,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_22,25.08,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_23,25.17,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_24,23.67,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_25,25.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_26,23.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_27,24.85,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_28,25.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_29,23.88,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_30,23.53,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_31,24.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_32,24.6,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_33,25.61,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_34,19.42,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_35,24.11,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_36,21.3,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_37,24.24,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_38,24.27,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_39,20.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_40,25.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_41,24.47,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_42,23.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_M_1.4_1.0_43,23.77,2.31,0.73,-0.33,-0.5,-0.68,0.15
