ObjID,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB
A_M_1.9999999999999998_1.0_0,COM,0.453678,1.000327,2.208,5.107,6.029,60934.38116387724,60980.00158187724
A_M_1.9999999999999998_1.0_1,COM,1.251751,1.003693,1.427,3.564,3.226,64233.33267287724,60980.00158187724
A_M_1.9999999999999998_1.0_2,COM,1.810868,1.011982,0.328,2.667,0.332,61160.33605387724,60980.00158187724
A_M_1.9999999999999998_1.0_3,COM,0.551917,1.006067,1.49,3.108,4.864,63961.384079877236,60980.00158187724
A_M_1.9999999999999998_1.0_4,COM,0.78487,1.013486,2.008,0.347,2.772,61465.687766877236,60980.00158187724
A_M_1.9999999999999998_1.0_5,COM,0.477807,1.013584,0.479,2.105,5.116,62157.543421877235,60980.00158187724
A_M_1.9999999999999998_1.0_6,COM,0.222599,1.004298,1.649,5.859,4.487,63817.758256877234,60980.00158187724
A_M_1.9999999999999998_1.0_7,COM,0.61781,1.021015,2.977,3.645,2.131,63744.245644877235,60980.00158187724
A_M_1.9999999999999998_1.0_8,COM,0.408543,1.013431,0.343,1.647,2.104,64530.602160877235,60980.00158187724
A_M_1.9999999999999998_1.0_9,COM,0.104666,1.004285,2.563,3.19,3.209,61659.62753487724,60980.00158187724
A_M_1.9999999999999998_1.0_10,COM,0.674529,1.024123,1.895,6.065,1.459,63580.04966187724,60980.00158187724
A_M_1.9999999999999998_1.0_11,COM,1.418221,1.058037,1.128,3.184,2.63,63699.288238877234,60980.00158187724
A_M_1.9999999999999998_1.0_12,COM,0.7138,1.035471,1.351,3.619,3.014,61030.91645687724,60980.00158187724
A_M_1.9999999999999998_1.0_13,COM,0.63604,1.026678,1.654,1.696,1.387,63405.144244877236,60980.00158187724
A_M_1.9999999999999998_1.0_14,COM,0.375017,1.021054,1.305,5.061,6.244,64628.17259887724,60980.00158187724
A_M_1.9999999999999998_1.0_15,COM,0.524683,1.024171,1.497,0.61,5.929,61019.58289787724,60980.00158187724
A_M_1.9999999999999998_1.0_16,COM,1.586651,1.070448,0.649,5.574,1.939,62927.02511487724,60980.00158187724
A_M_1.9999999999999998_1.0_17,COM,1.446157,1.088107,2.265,3.748,3.336,61558.69323787724,60980.00158187724
A_M_1.9999999999999998_1.0_18,COM,1.774575,1.114402,1.592,4.435,0.248,61873.78302287724,60980.00158187724
A_M_1.9999999999999998_1.0_19,COM,0.458035,1.027057,0.835,5.179,3.037,61830.04285587724,60980.00158187724
A_M_1.9999999999999998_1.0_20,COM,1.489598,1.105272,0.883,1.235,3.848,61491.141704877235,60980.00158187724
A_M_1.9999999999999998_1.0_21,COM,0.168175,1.01303,1.388,4.912,3.537,62641.927964877235,60980.00158187724
A_M_1.9999999999999998_1.0_22,COM,0.788212,1.064897,1.691,2.067,4.795,62836.98843687724,60980.00158187724
A_M_1.9999999999999998_1.0_23,COM,0.801411,1.071658,2.051,6.231,2.526,63646.96020887724,60980.00158187724
A_M_1.9999999999999998_1.0_24,COM,0.801411,1.071658,2.051,6.231,2.526,63646.96020887724,60980.00158187724
A_M_1.9999999999999998_1.0_25,COM,1.200354,1.090387,1.764,0.674,4.88,64201.53311987724,60980.00158187724
A_M_1.9999999999999998_1.0_26,COM,0.298363,1.027135,0.575,6.051,3.672,60995.196938877234,60980.00158187724
A_M_1.9999999999999998_1.0_27,COM,0.416274,1.034168,1.266,3.624,6.085,62948.93752087724,60980.00158187724
A_M_1.9999999999999998_1.0_28,COM,1.268975,1.139045,1.149,2.056,3.726,61608.408492877235,60980.00158187724
A_M_1.9999999999999998_1.0_29,COM,0.598941,1.067155,2.306,5.347,0.388,64104.86132287724,60980.00158187724
A_M_1.9999999999999998_1.0_30,COM,1.967912,1.192558,0.704,0.222,0.011,61067.68921187724,60980.00158187724
A_M_1.9999999999999998_1.0_31,COM,0.387724,1.037892,1.032,2.183,4.071,62529.83405687724,60980.00158187724
A_M_1.9999999999999998_1.0_32,COM,0.012878,1.001565,1.262,2.154,2.837,61260.01317587724,60980.00158187724
A_M_1.9999999999999998_1.0_33,COM,0.576966,1.068009,0.237,3.547,2.739,62371.250737877235,60980.00158187724
A_M_1.9999999999999998_1.0_34,COM,0.038817,1.004838,2.287,1.091,1.237,64663.94963587724,60980.00158187724
A_M_1.9999999999999998_1.0_35,COM,0.107446,1.013793,2.509,5.02,5.894,61179.80608787724,60980.00158187724
A_M_1.9999999999999998_1.0_36,COM,1.027369,1.133736,0.926,3.986,2.256,63137.294756877236,60980.00158187724
A_M_1.9999999999999998_1.0_37,COM,1.372071,1.193507,1.537,6.068,6.029,63317.163239877234,60980.00158187724
A_M_1.9999999999999998_1.0_38,COM,0.133352,1.018716,2.262,3.139,5.195,61905.53382387724,60980.00158187724
A_M_1.9999999999999998_1.0_39,COM,1.374661,1.197238,2.915,6.093,2.108,63182.94615687724,60980.00158187724
A_M_1.9999999999999998_1.0_40,COM,0.986779,1.142819,0.75,4.565,5.255,61049.31472887724,60980.00158187724
A_M_1.9999999999999998_1.0_41,COM,0.926141,1.150198,2.08,5.471,5.547,61046.11826587724,60980.00158187724
A_M_1.9999999999999998_1.0_42,COM,0.760655,1.110608,0.932,0.289,4.205,63988.184497877235,60980.00158187724
A_M_1.9999999999999998_1.0_43,COM,0.888999,1.146256,2.237,1.619,0.229,61187.29481187724,60980.00158187724
A_M_1.9999999999999998_1.0_44,COM,1.797308,1.285366,1.852,2.732,3.485,62613.15226687724,60980.00158187724
A_M_1.9999999999999998_1.0_45,COM,0.379535,1.059168,2.849,0.58,5.216,61528.189869877235,60980.00158187724
A_M_1.9999999999999998_1.0_46,COM,0.459634,1.085401,0.369,3.375,2.999,61861.52030287724,60980.00158187724
A_M_1.9999999999999998_1.0_47,COM,0.087447,1.015191,1.486,0.19,4.767,62845.391020877236,60980.00158187724
A_M_1.9999999999999998_1.0_48,COM,0.972145,1.16915,1.508,2.217,3.065,63859.10603487724,60980.00158187724
A_M_1.9999999999999998_1.0_49,COM,1.813243,1.300709,0.319,5.938,3.816,61497.23646087724,60980.00158187724
A_M_1.9999999999999998_1.0_50,COM,0.807683,1.151537,0.797,3.981,2.927,63542.39051487724,60980.00158187724
A_M_1.9999999999999998_1.0_51,COM,1.039976,1.200649,1.357,0.554,5.927,62655.25621087724,60980.00158187724
A_M_1.9999999999999998_1.0_52,COM,0.252993,1.055942,1.387,1.169,1.273,62303.899357877235,60980.00158187724
A_M_1.9999999999999998_1.0_53,COM,0.065674,1.013837,2.449,1.565,0.974,63547.94580887724,60980.00158187724
A_M_1.9999999999999998_1.0_54,COM,0.384714,1.083929,0.517,1.227,3.889,63081.80044087724,60980.00158187724
A_M_1.9999999999999998_1.0_55,COM,0.232793,1.046191,1.91,2.281,5.629,64522.19030887724,60980.00158187724
A_M_1.9999999999999998_1.0_56,COM,0.752633,1.155945,1.554,6.226,3.53,60978.971226877235,60980.00158187724
A_M_1.9999999999999998_1.0_57,COM,0.788898,1.172711,0.48,4.748,2.554,63867.85924287724,60980.00158187724
A_M_1.9999999999999998_1.0_58,COM,1.62753,1.347427,0.955,2.182,4.504,61842.510410877236,60980.00158187724
A_M_1.9999999999999998_1.0_59,COM,0.68732,1.156503,1.789,6.014,5.045,62492.837135877235,60980.00158187724
