ObjID,H_g,u-r,g-r,i-r,z-r,y-r,GS
A_OB_1.0_1.0_0,25.43,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_1,19.59,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_2,24.99,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_3,22.34,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_4,23.81,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_5,20.64,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_6,25.12,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_7,18.57,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_8,25.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_9,7.83,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_10,24.84,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_11,14.23,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_12,8.69,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_13,23.4,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_14,21.26,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_15,16.51,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_16,21.82,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_17,24.33,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_18,25.3,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_19,16.09,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_20,10.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_21,21.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_22,21.84,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_23,21.21,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_24,14.08,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_25,24.55,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_26,20.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_27,25.4,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_28,24.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_29,21.99,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_30,15.6,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_31,23.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_32,24.51,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_33,24.11,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_34,24.36,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_35,21.42,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_36,23.72,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_37,20.36,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_38,21.3,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_39,22.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_40,17.47,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_41,22.9,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_42,21.28,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_43,7.76,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_44,22.27,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_45,24.17,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_46,23.11,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_47,19.98,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_48,24.7,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_49,9.71,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_50,19.09,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_51,20.7,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_52,5.65,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_53,22.66,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_54,6.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_55,23.97,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_56,6.11,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.0_1.0_57,25.3,2.31,0.73,-0.33,-0.5,-0.68,0.15
