ObjID,H_g,u-r,g-r,i-r,z-r,y-r,GS
A_OB_1.4_1.0_0,25.39,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_1,24.02,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_2,25.53,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_3,21.48,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_4,25.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_5,25.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_6,23.67,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_7,12.72,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_8,22.86,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_9,25.51,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_10,24.48,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_11,24.75,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_12,24.69,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_13,22.96,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_14,25.44,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_15,23.31,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_16,25.37,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_17,24.53,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_18,18.66,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_19,24.3,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_20,23.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_21,19.91,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_22,25.16,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_23,23.6,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_24,20.99,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_25,25.27,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_26,23.01,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_27,25.47,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_28,23.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_29,23.47,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_30,22.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_31,24.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_32,22.95,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_33,25.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_34,25.17,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_35,23.07,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_36,25.39,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_37,24.46,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_38,25.45,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_39,22.49,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_40,24.99,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_41,25.01,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_42,24.18,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_43,23.68,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_44,24.15,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_45,24.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_46,25.03,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_47,22.81,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_48,25.24,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_49,25.58,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_50,23.02,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_51,25.41,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_52,24.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_53,16.98,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_54,22.31,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_55,13.14,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_56,25.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_57,25.18,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_58,23.95,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_59,20.04,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_60,20.88,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_61,11.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_62,23.23,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_63,24.1,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_64,24.67,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_65,25.29,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_66,23.2,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_67,21.9,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_68,20.64,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_69,24.1,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_70,21.35,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_71,24.19,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_72,22.52,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_73,24.42,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_74,21.36,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_75,23.8,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_76,24.01,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_77,22.75,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_78,20.78,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_79,24.79,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_80,24.83,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_81,22.19,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_82,24.84,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_83,24.26,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_84,18.56,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_85,25.25,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_86,22.73,2.31,0.73,-0.33,-0.5,-0.68,0.15
A_OB_1.4_1.0_87,24.1,2.31,0.73,-0.33,-0.5,-0.68,0.15
